DATA,D1,D2,D3,D4,D5,D6
23/01/2019,11,12,20,40,41,46
19/01/2019,4,28,29,30,43,52
17/01/2019,1,9,19,21,34,54
15/01/2019,4,19,27,35,40,44
12/01/2019,17,25,30,35,42,57
09/01/2019,11,14,21,25,46,50
05/01/2019,17,39,43,46,52,53
02/01/2019,1,41,44,46,54,58
31/12/2018,5,10,12,18,25,33
20/12/2018,4,12,16,34,44,49
18/12/2018,19,22,29,41,44,59
15/12/2018,8,38,44,50,56,60
12/12/2018,3,27,36,39,40,43
08/12/2018,11,13,16,24,31,46
06/12/2018,2,10,12,27,45,56
04/12/2018,3,13,40,44,46,50
01/12/2018,4,6,17,34,51,57
28/11/2018,2,8,18,37,56,58
24/11/2018,1,10,11,13,35,49
21/11/2018,5,15,20,27,30,58
17/11/2018,2,8,18,27,38,60
14/11/2018,9,24,28,45,49,51
10/11/2018,6,11,13,19,24,51
07/11/2018,16,29,35,43,49,56
03/11/2018,4,16,19,31,33,44
31/10/2018,8,14,27,34,52,54
27/10/2018,11,13,15,17,22,27
25/10/2018,10,11,12,37,38,59
23/10/2018,8,11,18,37,40,51
20/10/2018,5,10,32,38,48,49
17/10/2018,3,14,24,27,38,56
13/10/2018,2,18,19,23,34,53
10/10/2018,4,35,43,46,47,53
06/10/2018,12,21,25,37,38,49
03/10/2018,7,20,26,37,38,39
29/09/2018,1,18,19,33,56,60
26/09/2018,6,25,33,42,48,49
22/09/2018,13,18,35,40,41,42
20/09/2018,10,22,40,46,55,58
18/09/2018,1,2,14,37,55,58
15/09/2018,2,11,15,30,36,39
12/09/2018,13,16,26,35,37,39
08/09/2018,5,6,12,15,22,43
05/09/2018,7,9,23,33,57,59
01/09/2018,8,18,23,37,42,58
29/08/2018,12,15,18,30,52,55
25/08/2018,10,12,13,20,22,54
22/08/2018,24,33,34,35,46,60
18/08/2018,5,26,27,34,42,48
16/08/2018,3,17,34,35,40,48
14/08/2018,3,5,9,40,42,47
11/08/2018,2,11,13,26,32,59
08/08/2018,6,25,27,35,45,55
04/08/2018,4,11,20,30,37,43
01/08/2018,10,14,36,53,55,60
28/07/2018,6,10,19,24,25,29
25/07/2018,8,10,15,23,25,34
21/07/2018,33,36,40,44,45,54
18/07/2018,8,9,11,25,39,41
14/07/2018,4,5,36,40,44,56
11/07/2018,4,19,23,29,56,59
07/07/2018,10,13,20,37,38,54
05/07/2018,18,22,29,34,36,47
03/07/2018,6,25,35,43,46,53
30/06/2018,4,7,12,22,26,39
27/06/2018,12,22,27,37,40,55
23/06/2018,50,51,56,57,58,59
20/06/2018,1,5,6,37,44,53
16/06/2018,8,31,32,33,38,50
13/06/2018,10,19,27,31,51,53
09/06/2018,10,19,26,35,38,39
06/06/2018,1,18,19,29,44,54
02/06/2018,3,6,11,27,28,46
30/05/2018,15,25,27,45,46,50
26/05/2018,7,14,47,54,56,60
23/05/2018,21,38,53,56,57,58
19/05/2018,14,22,29,32,33,35
16/05/2018,10,12,22,25,42,54
12/05/2018,6,9,41,54,56,58
10/05/2018,6,12,22,28,31,44
08/05/2018,6,25,26,35,38,40
05/05/2018,14,16,23,30,45,60
02/05/2018,7,8,19,23,27,58
28/04/2018,30,35,36,38,49,52
25/04/2018,6,7,13,17,22,56
20/04/2018,10,18,33,38,40,43
17/04/2018,6,14,19,20,39,53
14/04/2018,18,23,37,39,50,55
11/04/2018,4,27,38,40,58,59
07/04/2018,6,15,18,33,37,40
04/04/2018,7,11,24,36,42,58
31/03/2018,11,15,29,37,39,44
28/03/2018,10,23,31,33,51,52
24/03/2018,4,24,46,52,55,56
21/03/2018,16,20,23,29,35,47
17/03/2018,1,6,7,8,23,56
14/03/2018,4,28,45,48,52,60
10/03/2018,7,14,32,37,40,60
07/03/2018,2,36,46,48,57,60
03/03/2018,23,41,46,52,54,59
28/02/2018,11,22,25,27,55,59
24/02/2018,2,10,11,24,38,56
21/02/2018,4,11,17,18,21,48
17/02/2018,17,18,27,32,39,58
14/02/2018,16,32,40,46,53,56
10/02/2018,6,23,30,36,53,56
08/02/2018,8,11,27,35,36,51
06/02/2018,2,28,32,35,54,58
03/02/2018,8,10,18,34,39,56
31/01/2018,1,37,44,46,48,50
27/01/2018,22,27,33,42,58,59
24/01/2018,4,14,39,41,54,58
20/01/2018,1,9,14,20,25,54
17/01/2018,11,19,22,33,34,53
13/01/2018,1,5,14,23,35,45
10/01/2018,28,34,40,43,50,51
06/01/2018,4,28,30,38,46,59
03/01/2018,20,22,36,42,52,60
31/12/2017,3,6,10,17,34,37
21/12/2017,15,37,38,42,49,50
19/12/2017,8,21,24,25,52,57
16/12/2017,1,7,14,31,35,46
13/12/2017,7,20,21,24,40,56
09/12/2017,14,26,29,35,37,39
06/12/2017,2,5,12,32,40,44
02/12/2017,6,17,33,48,50,57
29/11/2017,5,11,13,21,53,54
25/11/2017,19,20,28,34,36,44
22/11/2017,11,24,26,34,37,59
18/11/2017,15,22,30,32,40,58
16/11/2017,5,10,39,42,46,54
11/11/2017,10,14,31,34,45,58
09/11/2017,23,36,43,44,55,56
07/11/2017,9,28,29,34,36,55
04/11/2017,21,29,32,35,43,50
01/11/2017,5,6,10,14,22,36
28/10/2017,4,14,20,24,46,50
25/10/2017,6,15,19,37,39,53
21/10/2017,12,16,17,18,34,37
19/10/2017,22,23,29,32,38,45
17/10/2017,2,6,22,44,55,57
14/10/2017,3,16,28,32,34,37
11/10/2017,12,14,19,25,52,59
07/10/2017,8,11,24,26,47,57
04/10/2017,4,19,27,38,54,57
30/09/2017,1,12,16,17,52,60
27/09/2017,9,16,20,54,57,59
23/09/2017,4,10,41,44,52,54
21/09/2017,5,10,18,24,39,52
19/09/2017,8,20,30,32,48,59
16/09/2017,35,36,39,44,48,52
13/09/2017,13,30,32,39,46,54
09/09/2017,10,13,19,32,40,60
06/09/2017,26,28,35,38,48,55
02/09/2017,2,27,32,36,48,50
30/08/2017,4,5,7,34,42,60
26/08/2017,5,6,15,25,39,53
23/08/2017,17,25,26,30,32,50
19/08/2017,1,18,25,37,39,43
16/08/2017,8,21,27,35,43,56
12/08/2017,15,20,22,24,34,55
10/08/2017,2,14,22,23,29,47
08/08/2017,5,8,20,28,40,45
05/08/2017,15,27,33,36,41,45
02/08/2017,9,25,33,35,40,49
29/07/2017,9,26,29,42,43,45
26/07/2017,9,21,36,38,52,53
22/07/2017,14,16,19,21,33,55
19/07/2017,10,21,32,34,48,57
15/07/2017,1,6,14,22,30,56
12/07/2017,12,20,24,28,33,57
08/07/2017,8,33,40,52,55,59
06/07/2017,4,6,39,44,52,60
04/07/2017,4,8,10,21,45,54
01/07/2017,8,9,39,47,57,59
28/06/2017,9,11,12,30,39,43
24/06/2017,6,18,20,24,43,48
21/06/2017,1,9,24,38,48,49
17/06/2017,9,13,16,17,36,47
14/06/2017,7,24,29,39,45,52
10/06/2017,10,16,32,40,42,54
07/06/2017,6,10,24,29,43,55
03/06/2017,3,12,24,40,51,52
31/05/2017,1,3,10,17,23,24
27/05/2017,8,23,35,39,56,59
24/05/2017,2,14,15,19,35,59
20/05/2017,10,16,21,29,44,55
17/05/2017,2,8,9,15,22,34
13/05/2017,4,17,18,37,52,56
11/05/2017,3,10,23,36,43,52
09/05/2017,10,26,28,51,53,59
06/05/2017,5,11,13,19,30,31
03/05/2017,2,3,14,20,30,46
29/04/2017,1,17,38,43,45,47
26/04/2017,12,16,30,52,53,58
22/04/2017,9,34,42,45,46,59
19/04/2017,20,22,36,38,41,43
15/04/2017,10,15,16,19,28,35
12/04/2017,25,31,33,39,43,45
08/04/2017,11,28,37,45,54,60
05/04/2017,16,17,20,22,38,50
01/04/2017,4,21,25,33,36,46
29/03/2017,3,9,18,23,50,52
25/03/2017,2,20,21,33,48,57
22/03/2017,16,29,33,39,42,44
18/03/2017,4,14,17,43,52,56
15/03/2017,10,13,33,35,36,42
11/03/2017,16,18,23,30,32,33
08/03/2017,6,9,15,22,39,48
04/03/2017,11,40,43,45,47,57
01/03/2017,4,10,13,23,27,57
25/02/2017,3,25,35,38,44,48
23/02/2017,6,27,33,39,40,60
21/02/2017,29,35,43,54,56,57
18/02/2017,12,15,18,21,51,56
15/02/2017,9,10,15,28,43,45
11/02/2017,2,7,9,18,21,25
08/02/2017,11,12,26,30,37,53
04/02/2017,8,11,27,28,43,46
01/02/2017,20,23,35,36,44,48
28/01/2017,12,34,45,53,55,58
25/01/2017,9,22,25,47,52,58
21/01/2017,3,6,14,15,21,25
18/01/2017,2,3,5,10,15,34
14/01/2017,21,31,35,53,54,57
11/01/2017,16,17,19,28,45,58
